VehicleID,Manufacturer,Model,Fuel Type,Fuel Efficiency,EFF (km/l)/(km/kwh),Body Type,Seating Capacity,Ground Clearance (range),Body Type 1 (sedan),Body Type 2 (hatchback),Body Type 3 (suv),Body Type 4 (mpv),Body Type 5 (pickup),Body Type 6 (coupe),Body Type 7 (convertible),Body Type 8 (wagon),Body Type 9 (van),Body Type 10 (crossover),Body Type 11 (kei / microvan),Body Type 12 (roadster),Body Type 13 (other),Body Type 14 (liftback),Body Type 15 (mpv / minivan),City/Urban,Suburban/Normal,Mid Off-Road,Off-Road/Hilly Terrain,Year
000_Audi_a1=Petrol,Audi,a1,Petrol,16-19,17.5,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018–present
001_Audi_a125tfsi=Petrol,Audi,a1 25tfsi,Petrol,16-20,18.0,hatchback,5,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023-present
002_Audi_a125tfsis-line=Petrol,Audi,a1 25tfsi s-line,Petrol,16-20,18.0,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018-present
003_Audi_a130tfsi=Petrol,Audi,a1 30tfsi,Petrol,17-19,18.0,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018-present
004_Audi_a3=Petrol,Audi,a3,Petrol,17-22,19.5,hatchback,5,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012-2020
005_Audi_a325tfsi=Petrol,Audi,a3 25tfsi,Petrol,18.9-20.4,19.6,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2018,2023,2024"
006_Audi_a325tfsis-line=Petrol,Audi,a3 25tfsi s-line,Petrol,18.9-20.4,19.6,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018
007_Audi_a325tfsisedan=Petrol,Audi,a3 25tfsi sedan,Petrol,18.9-20.4,19.6,sedan,5,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024
008_Audi_a325tfsisportback=Petrol,Audi,a3 25tfsi sportback,Petrol,18.9-20.4,19.6,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
009_Audi_a330tfsi=Petrol,Audi,a3 30tfsi,Petrol,21.3,21.3,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020-present
0010_Audi_a3rs3=Petrol,Audi,a3 rs3,Petrol,10.4-13.2,11.8,hatchback,5,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021-present
0011_Audi_a3s-line=Petrol,Audi,a3 s-line,Petrol,14-19,16.5,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018-present
